symbol,date,open,high,low,close,volume,adjusted
SPXU,2009-06-25,6142.399902,6161.600098,5856,5863.200195,800,5831.940918
SPXU,2009-06-26,5925.600098,6003.200195,5829.600098,5906.399902,1600,5874.910156
SPXU,2009-06-29,5856,5932.799805,5720,5730.399902,1700,5699.848145
SPXU,2009-06-30,5736.799805,6001.600098,5674.399902,5870.399902,3800,5839.101563
SPXU,2009-07-01,5800,5820,5634.399902,5808.799805,4e3,5777.830078
SPXU,2009-07-02,6033.600098,6288.799805,6030.399902,6272,3600,6238.561035
SPXU,2009-07-06,6462.399902,6519.200195,6256,6257.600098,6200,6224.237793
SPXU,2009-07-07,6291.200195,6646.399902,6285.600098,6635.200195,7300,6599.824707
SPXU,2009-07-08,6536,6880.799805,6480.799805,6634.399902,11200,6599.02832
SPXU,2009-07-09,6527.200195,6672,6460.799805,6620,7200,6584.705566
SPXU,2009-07-10,6722.399902,6797.600098,6551.200195,6664,8600,6628.470703
SPXU,2009-07-13,6594.399902,6741.600098,6164.799805,6168.799805,9800,6135.910645
SPXU,2009-07-14,6115.200195,6250.399902,6056.799805,6060.799805,1e4,6028.486328
SPXU,2009-07-15,5825.600098,5854.399902,5488.799805,5529.600098,13400,5500.119141
SPXU,2009-07-16,5586.399902,5609.600098,5315.200195,5384,11300,5355.29541
SPXU,2009-07-17,5397.600098,5479.200195,5350.399902,5381.600098,9200,5352.908203
SPXU,2009-07-20,5281.600098,5368,5181.600098,5216,14300,5188.190918
SPXU,2009-07-21,5090.399902,5320.799805,5081.600098,5136.799805,17300,5109.413086
SPXU,2009-07-22,5234.399902,5244,5044.799805,5132,18e3,5104.638672
SPXU,2009-07-23,5128.799805,5135.200195,4726.399902,4798.399902,33e3,4772.817383
SPXU,2009-07-24,4860.799805,4933.600098,4722.399902,4739.200195,14200,4713.933105
SPXU,2009-07-27,4748.799805,4836.799805,4684,4692.799805,20500,4667.780273
SPXU,2009-07-28,4787.200195,4876.799805,4689.600098,4739.200195,31200,4713.933105
SPXU,2009-07-29,4828,4888,4752.799805,4797.600098,20300,4772.021973
SPXU,2009-07-30,4616.799805,4652,4472.799805,4627.200195,25500,4602.530273
SPXU,2009-07-31,4642.399902,4680,4528.799805,4620,17500,4595.368652
SPXU,2009-08-03,4468.799805,4547.200195,4380.799805,4401.600098,27100,4378.133301
SPXU,2009-08-04,4447.200195,4476.799805,4338.399902,4360,25800,4336.754883
SPXU,2009-08-05,4348,4500.799805,4336.799805,4405.600098,27300,4382.111816
SPXU,2009-08-06,4336,4523.200195,4315.200195,4461.600098,23500,4437.813477
SPXU,2009-08-07,4318.399902,4396,4178.399902,4288,25700,4265.138672
SPXU,2009-08-10,4346.399902,4403.200195,4285.600098,4315.200195,18300,4292.193848
SPXU,2009-08-11,4371.200195,4508,4364.799805,4485.600098,17700,4461.685059
SPXU,2009-08-12,4491.200195,4499.200195,4227.200195,4330.399902,31400,4307.3125
SPXU,2009-08-13,4272,4400,4227.200195,4232,23900,4209.437012
SPXU,2009-08-14,4232.799805,4464,4231.200195,4333.600098,22e3,4310.495605
SPXU,2009-08-17,4580.799805,4672,4565.600098,4656.799805,20200,4631.972656
SPXU,2009-08-18,4616.799805,4640,4485.600098,4525.600098,20300,4501.47168
